Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
DETEKSI MANUSIA DENGAN MENGGUNAKAN ALGORITMA YOU ONLY LOOK ONCE (YOLO) PADA CITRA PEJALAN KAKI,Tahiyyah Rizqi Hardiyanti,"Dr. Indah Agustien S., S.Kom., M.Kom.","Arik Kurniawati, S.Kom., M.T",berkembang recognition system keperluan berbeda beda implementasi computer vision cv diterapkan sistem otomatisasi suksesnya algoritma deteksi wajah berkembang algoritma human detection deteksi manusia berfokus wajah algoritma deteksi manusia mengidentifikasi fitur tubuh manusia salah algoritma deteksi manusia yolo you only look once deteksi citra metode convolutional neural network cnn region proposal kandidat area memecahkan deteksi objek regresi tunggal dimana regresi rentang nilai mengalokasikan bounding box output yolo deteksi objek citra memprediksi objek citra dimana lokasi objek berdasarkan koordinat bounding box probabilitas kelas merepresentasikan objek deteksi objek yolo membagi citra grid dimana proses deteksi objek cnn grid hasil pengujian layer penentuan threshold probabilitas kelas berpengaruh akurasi dihasilkan didapatkan layer konvolusi terbaik mendeteksi manusia citra layer konvolusi layer threshold menghasilkan f score nms merge, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['berkembang', 'recognition', 'system', 'keperluan', 'berbeda', 'beda', 'implementasi', 'computer', 'vision', 'cv', 'diterapkan', 'sistem', 'otomatisasi', 'suksesnya', 'algoritma', 'deteksi', 'wajah', 'berkembang', 'algoritma', 'human', 'detection', 'deteksi', 'manusia', 'berfokus', 'wajah', 'algoritma', 'deteksi', 'manusia', 'mengidentifikasi', 'fitur', 'tubuh', 'manusia', 'salah', 'algoritma', 'deteksi', 'manusia', 'yolo', 'you', 'only', 'look', 'once', 'deteksi', 'citra', 'metode', 'convolutional', 'neural', 'network', 'cnn', 'region', 'proposal', 'kandidat', 'area', 'memecahkan', 'deteksi', 'objek', 'regresi', 'tunggal', 'dimana', 'regresi', 'rentang', 'nilai', 'mengalokasikan', 'bounding', 'box', 'output', 'yolo', 'deteksi', 'objek', 'citra', 'memprediksi', 'objek', 'citra', 'dimana', 'lokasi', 'objek', 'berdasarkan', 'koordinat', 'bounding', 'box', 'probabilitas', 'kelas', 'merepresentasikan', 'objek', 'deteksi', 'objek', 'yolo', 'membagi', 'citra', 'grid', 'dimana', 'proses', 'deteksi', 'objek', 'cnn', 'grid', 'hasil', 'pengujian', 'layer', 'penentuan', 'threshold', 'probabilitas', 'kelas', 'berpengaruh', 'akurasi', 'dihasilkan', 'didapatkan', 'layer', 'konvolusi', 'terbaik', 'mendeteksi', 'manusia', 'citra', 'layer', 'konvolusi', 'layer', 'threshold', 'menghasilkan', 'f', 'score', 'nms', 'merge']"
KLASIFIKASI STATUS PREEKLAMSI PADA IBU HAMIL MENGGUNAKAN FUZZY ITERATIVE DICHOTOMISTER 3,Nurhasanah,"Dr. Yeni Kustiyahningsih S.Kom,.M.Kom.","Mula'ab, S.Si,. M.Kom",berdasar survei demografi kesehatan indonesia sdki angka kematian aki meningkat hasil survei hipertensi hamil menempati urutan penyebab kematian hipertensi hamil dikenal istilah preeklamasi penelitian sistem klasifikasi preklamasi hamil metode fuzzy iterative dichotomiser f id berdasar kelas klasifikasi normal waspada preeklamsi ringan bahaya preeklamsi berat klasifikasi penelitian membantu tenaga medis mengambil keputusan kelahiran tempuh normal sesar variable metode teka darah sistolik teka darah diastolik usia usia kehamilan protein urine odema tahapan penggunaan metode fuzzy id inisialisasi nilai fuzzy perhitungan nilai fuzzy entropy nilai information gain pengujian algoritma k fold cross validation analisa akurasi confusion matrix output sistem diagnosis status preeklamasi dibagi normal waspada preeklamsi ringan bahaya preeklamsi berat diuji aturan terbaik terbentuk hasil pengujian menghasilkan nilai akurasi terbesar precision terbesar recall terbesar pengujian fold, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['berdasar', 'survei', 'demografi', 'kesehatan', 'indonesia', 'sdki', 'angka', 'kematian', 'aki', 'meningkat', 'hasil', 'survei', 'hipertensi', 'hamil', 'menempati', 'urutan', 'penyebab', 'kematian', 'hipertensi', 'hamil', 'dikenal', 'istilah', 'preeklamasi', 'penelitian', 'sistem', 'klasifikasi', 'preklamasi', 'hamil', 'metode', 'fuzzy', 'iterative', 'dichotomiser', 'f', 'id', 'berdasar', 'kelas', 'klasifikasi', 'normal', 'waspada', 'preeklamsi', 'ringan', 'bahaya', 'preeklamsi', 'berat', 'klasifikasi', 'penelitian', 'membantu', 'tenaga', 'medis', 'mengambil', 'keputusan', 'kelahiran', 'tempuh', 'normal', 'sesar', 'variable', 'metode', 'teka', 'darah', 'sistolik', 'teka', 'darah', 'diastolik', 'usia', 'usia', 'kehamilan', 'protein', 'urine', 'odema', 'tahapan', 'penggunaan', 'metode', 'fuzzy', 'id', 'inisialisasi', 'nilai', 'fuzzy', 'perhitungan', 'nilai', 'fuzzy', 'entropy', 'nilai', 'information', 'gain', 'pengujian', 'algoritma', 'k', 'fold', 'cross', 'validation', 'analisa', 'akurasi', 'confusion', 'matrix', 'output', 'sistem', 'diagnosis', 'status', 'preeklamasi', 'dibagi', 'normal', 'waspada', 'preeklamsi', 'ringan', 'bahaya', 'preeklamsi', 'berat', 'diuji', 'aturan', 'terbaik', 'terbentuk', 'hasil', 'pengujian', 'menghasilkan', 'nilai', 'akurasi', 'terbesar', 'precision', 'terbesar', 'recall', 'terbesar', 'pengujian', 'fold']"
IDENTIFIKASI ATRIBUT PEJALAN KAKI BERBASIS MULTI-LABEL CLASSIFICATION DENGAN MENGGUNAKAN CLASSIFIER CHAINS,Saiful Ulum,"Dr. Indah Agustien S., S.Kom., M.Kom.","Prof. Dr. Arif Muntasa, S.Si., M.T.",multi label classification mlc salah topik perhatian dunia machine learning diterapkan bidang klasifikasi teks anotasi citra anotasi video bioinformatics jaringan sosial kategori musik mlc identifikasi atribut citra pejalan kaki berbeda single label classification mengklasifikasikan atribut terpisah multi label classification mengklasifikasi atribut langsung penelitian diusulkan classifier chains cc metode identifikasi atribut pejalan kaki cc dipilih mempertimbangkan hubungan kelas metode ekstraksi fitur warna color histogram ekstraksi fitur tekstur multi block local binary pattern mb lbp fitur gabungan dihasilkan color histogram mb lbp proses input proses klasifikasi cc percobaan urutan label atribut pejalan kaki berbeda pembangu model percobaan pengaruh urutan label berdasarkan model berbeda akurasi didapatkan model berdasarkan hasil urutan label pembangu model mempengaruhi kinerja model signifikan dengen selisih dibawah, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['multi', 'label', 'classification', 'mlc', 'salah', 'topik', 'perhatian', 'dunia', 'machine', 'learning', 'diterapkan', 'bidang', 'klasifikasi', 'teks', 'anotasi', 'citra', 'anotasi', 'video', 'bioinformatics', 'jaringan', 'sosial', 'kategori', 'musik', 'mlc', 'identifikasi', 'atribut', 'citra', 'pejalan', 'kaki', 'berbeda', 'single', 'label', 'classification', 'mengklasifikasikan', 'atribut', 'terpisah', 'multi', 'label', 'classification', 'mengklasifikasi', 'atribut', 'langsung', 'penelitian', 'diusulkan', 'classifier', 'chains', 'cc', 'metode', 'identifikasi', 'atribut', 'pejalan', 'kaki', 'cc', 'dipilih', 'mempertimbangkan', 'hubungan', 'kelas', 'metode', 'ekstraksi', 'fitur', 'warna', 'color', 'histogram', 'ekstraksi', 'fitur', 'tekstur', 'multi', 'block', 'local', 'binary', 'pattern', 'mb', 'lbp', 'fitur', 'gabungan', 'dihasilkan', 'color', 'histogram', 'mb', 'lbp', 'proses', 'input', 'proses', 'klasifikasi', 'cc', 'percobaan', 'urutan', 'label', 'atribut', 'pejalan', 'kaki', 'berbeda', 'pembangu', 'model', 'percobaan', 'pengaruh', 'urutan', 'label', 'berdasarkan', 'model', 'berbeda', 'akurasi', 'didapatkan', 'model', 'berdasarkan', 'hasil', 'urutan', 'label', 'pembangu', 'model', 'mempengaruhi', 'kinerja', 'model', 'signifikan', 'dengen', 'selisih', 'dibawah']"
Multi-Label Convolutional Neural Network (MLCNN) dengan Integrasi Pembagian Citra Input untuk Identifikasi Atribut Pejalan Kaki,Fajar Dwi Romadhon,"Dr. Indah Agustien S., S.Kom., M.Kom.","Prof. Dr. Arif Muntasa, S.Si., M.T.",identifikasi atribut upaya mengenali atribut dikenakan objek pejalan kaki citra jenis kelamin usia penampilan gaya berpakaian aksesori identifikasi atribut kepentingan keama mengungkap pelaku kejahatan ciri ciri atribut pelaku penelitian membangun model identifikasi atribut multi label convolutional neural network mlcnn mlcnn dibangun integrasi pembagian citra input window megkap informasi atribut lokal fitur lokal tahapan resize citra pembagian citra hasil pembagian terintegrasi cnn feature learning classification penelitian uji coba model pembagian citra berbeda pengaruh dihasilkan kinerja mlcnn uji coba dataset peta citra atribut berdasarkan uji coba model pembagian citra mempengaruhi hasil identifikasi atribut pembagian citra horizontal menghasilkan akurasi pembagian citra vertikal informasi atribut detail lengkap model terbaik mengidentifikasi atribut model pembagian citra horizontal akurasi, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['identifikasi', 'atribut', 'upaya', 'mengenali', 'atribut', 'dikenakan', 'objek', 'pejalan', 'kaki', 'citra', 'jenis', 'kelamin', 'usia', 'penampilan', 'gaya', 'berpakaian', 'aksesori', 'identifikasi', 'atribut', 'kepentingan', 'keama', 'mengungkap', 'pelaku', 'kejahatan', 'ciri', 'ciri', 'atribut', 'pelaku', 'penelitian', 'membangun', 'model', 'identifikasi', 'atribut', 'multi', 'label', 'convolutional', 'neural', 'network', 'mlcnn', 'mlcnn', 'dibangun', 'integrasi', 'pembagian', 'citra', 'input', 'window', 'megkap', 'informasi', 'atribut', 'lokal', 'fitur', 'lokal', 'tahapan', 'resize', 'citra', 'pembagian', 'citra', 'hasil', 'pembagian', 'terintegrasi', 'cnn', 'feature', 'learning', 'classification', 'penelitian', 'uji', 'coba', 'model', 'pembagian', 'citra', 'berbeda', 'pengaruh', 'dihasilkan', 'kinerja', 'mlcnn', 'uji', 'coba', 'dataset', 'peta', 'citra', 'atribut', 'berdasarkan', 'uji', 'coba', 'model', 'pembagian', 'citra', 'mempengaruhi', 'hasil', 'identifikasi', 'atribut', 'pembagian', 'citra', 'horizontal', 'menghasilkan', 'akurasi', 'pembagian', 'citra', 'vertikal', 'informasi', 'atribut', 'detail', 'lengkap', 'model', 'terbaik', 'mengidentifikasi', 'atribut', 'model', 'pembagian', 'citra', 'horizontal', 'akurasi']"
IDENTIFIKASI ATRIBUT PEJALAN KAKI MENGGUNAKANCONVOLUTIONAL NEURAL NETWORK DAN PRINCIPAL COMPNENT ANALISYS,Zumrotul Hasanah,"Dr. Indah Agustien S, S.Kom., M.Kom","Prof. Dr. Arif Muntasa, S.Si., M.T",kemampuan komputer identifikasi manusia objek topik penelitian muncul visi komputer penelitian memiliki potensi diberbagai bidang intelijen bisnis berbasis video pengawasan visual peneliti model convolutional neural network cnn identifikasi atribut pejalan kaki convolutional neural network memiliki kemampuan pembelajaran fitur otomatis fature learning model memiliki kelemahan inisialisasi bobot dibangkitkan acak terkadang menyebabkan redundancy bobot korelasi bobot berhubungan indenpedensi diusulkan principal component analisys ekstraksi eigenvector inisialisasi kernel konvolusi dikombinasikan proses training model convolutional neural network penelitian skenario pengujian pengaruh pca kinerja cnn arsitektur cnn latih uji dataset peta hasil uji coba inisialisasi filter layer konvolusi pca random pca random memperoleh f score disimpulkan hasil diperoleh inisialisasi filter layer konvolusi pca mempengaruhi kinerja cnn, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['kemampuan', 'komputer', 'identifikasi', 'manusia', 'objek', 'topik', 'penelitian', 'muncul', 'visi', 'komputer', 'penelitian', 'memiliki', 'potensi', 'diberbagai', 'bidang', 'intelijen', 'bisnis', 'berbasis', 'video', 'pengawasan', 'visual', 'peneliti', 'model', 'convolutional', 'neural', 'network', 'cnn', 'identifikasi', 'atribut', 'pejalan', 'kaki', 'convolutional', 'neural', 'network', 'memiliki', 'kemampuan', 'pembelajaran', 'fitur', 'otomatis', 'fature', 'learning', 'model', 'memiliki', 'kelemahan', 'inisialisasi', 'bobot', 'dibangkitkan', 'acak', 'terkadang', 'menyebabkan', 'redundancy', 'bobot', 'korelasi', 'bobot', 'berhubungan', 'indenpedensi', 'diusulkan', 'principal', 'component', 'analisys', 'ekstraksi', 'eigenvector', 'inisialisasi', 'kernel', 'konvolusi', 'dikombinasikan', 'proses', 'training', 'model', 'convolutional', 'neural', 'network', 'penelitian', 'skenario', 'pengujian', 'pengaruh', 'pca', 'kinerja', 'cnn', 'arsitektur', 'cnn', 'latih', 'uji', 'dataset', 'peta', 'hasil', 'uji', 'coba', 'inisialisasi', 'filter', 'layer', 'konvolusi', 'pca', 'random', 'pca', 'random', 'memperoleh', 'f', 'score', 'disimpulkan', 'hasil', 'diperoleh', 'inisialisasi', 'filter', 'layer', 'konvolusi', 'pca', 'mempengaruhi', 'kinerja', 'cnn']"
IDENTIFIKASI ATRIBUT PEJALAN KAKI BERBASIS MULTI TASK LEARNING MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK,Tri Ratna Sari Pramita,"Dr. Indah Agustien S., S.Kom.,M.Kom.","Prof. Dr. Arif Muntasa, S.Si.,M.T.",atribut pejalan kaki pengawasan visual teknologi pengawasan visual salah satunya close circuit television cctv pengawasan dunia nyata kamera cctv dipasang jarak menjangkau area luas pejalan kaki terrekam kamera cctv resolusi rendah identifikasi atribut pejalan kaki diimplementasikan mengenali pejalan kaki penelitian diusulkan metode convolutional neural network cnn algoritma multi task learning mtl identifikasi atribut pejalan kaki atribut identifikasi atribut pejalan kaki tujuh atribut laki laki rambut sandal celana pendek bawaan tas punggung topi penelitian uji coba lapisan konvolusi sharing layer specific sharing layer hasil uji coba penggunaan lapisan konvolusi sharing layer specific sharing layer berpengaruh kinerja model dihasilkan lapisan konvolusi meningkat hasil akurasi didapatkan beturut akurasi dihasilkan sharing layer lapisan konvolusi specific sharing layer lapisan konvolusi memperoleh akurasi berdasarkan uji coba sharing layer specific sharing layer peran meningkatkan kinerja identifikasi kunci identifikasi atribut multi task learning convolutional neural network sharing layer specific sharing layer, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['atribut', 'pejalan', 'kaki', 'pengawasan', 'visual', 'teknologi', 'pengawasan', 'visual', 'salah', 'satunya', 'close', 'circuit', 'television', 'cctv', 'pengawasan', 'dunia', 'nyata', 'kamera', 'cctv', 'dipasang', 'jarak', 'menjangkau', 'area', 'luas', 'pejalan', 'kaki', 'terrekam', 'kamera', 'cctv', 'resolusi', 'rendah', 'identifikasi', 'atribut', 'pejalan', 'kaki', 'diimplementasikan', 'mengenali', 'pejalan', 'kaki', 'penelitian', 'diusulkan', 'metode', 'convolutional', 'neural', 'network', 'cnn', 'algoritma', 'multi', 'task', 'learning', 'mtl', 'identifikasi', 'atribut', 'pejalan', 'kaki', 'atribut', 'identifikasi', 'atribut', 'pejalan', 'kaki', 'tujuh', 'atribut', 'laki', 'laki', 'rambut', 'sandal', 'celana', 'pendek', 'bawaan', 'tas', 'punggung', 'topi', 'penelitian', 'uji', 'coba', 'lapisan', 'konvolusi', 'sharing', 'layer', 'specific', 'sharing', 'layer', 'hasil', 'uji', 'coba', 'penggunaan', 'lapisan', 'konvolusi', 'sharing', 'layer', 'specific', 'sharing', 'layer', 'berpengaruh', 'kinerja', 'model', 'dihasilkan', 'lapisan', 'konvolusi', 'meningkat', 'hasil', 'akurasi', 'didapatkan', 'beturut', 'akurasi', 'dihasilkan', 'sharing', 'layer', 'lapisan', 'konvolusi', 'specific', 'sharing', 'layer', 'lapisan', 'konvolusi', 'memperoleh', 'akurasi', 'berdasarkan', 'uji', 'coba', 'sharing', 'layer', 'specific', 'sharing', 'layer', 'peran', 'meningkatkan', 'kinerja', 'identifikasi', 'kunci', 'identifikasi', 'atribut', 'multi', 'task', 'learning', 'convolutional', 'neural', 'network', 'sharing', 'layer', 'specific', 'sharing', 'layer']"
SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN TERAPI OBAT MENGUNAKAN METODE ADAPTIVE SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE (ASMART),Rizal Dwi Prasetyo,"Mulaâab,S.Si.,M.Kom","Dr. Yeni Kustiyahningsih, S.Kom., M.Kom.",pengobatan swamedikasi pilih masyarakat langkah mengurangi gejala penyakit ringan kebanyakan masyarakat memilih obat obatan media iklan saran tetangga sumber konsultasikan apoteker muncul orang membeli obat apotik konsultasi apoteker antrian masyarakat langsung membeli obat konsultasi apoteker kriteria obat kriteria obat indikasi kontraindikasi jenis dosis harga banyaknya kriteria menentukan terapi obat dibutuhkan metode asmart metode metode menyelesaikan multikriteria metode asmart menentukan terapi obat menghasilkan tingkat akurasi nilai akurasi diperoleh menganalisa tingkat persamaan hasil orang ahli dokter sistem pembuatan spk memiliki tingkat kesesuaian user pengguna berdasarkan hasil kuesioner responden dokter responden apoteker responden masyarakat, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['pengobatan', 'swamedikasi', 'pilih', 'masyarakat', 'langkah', 'mengurangi', 'gejala', 'penyakit', 'ringan', 'kebanyakan', 'masyarakat', 'memilih', 'obat', 'obatan', 'media', 'iklan', 'saran', 'tetangga', 'sumber', 'konsultasikan', 'apoteker', 'muncul', 'orang', 'membeli', 'obat', 'apotik', 'konsultasi', 'apoteker', 'antrian', 'masyarakat', 'langsung', 'membeli', 'obat', 'konsultasi', 'apoteker', 'kriteria', 'obat', 'kriteria', 'obat', 'indikasi', 'kontraindikasi', 'jenis', 'dosis', 'harga', 'banyaknya', 'kriteria', 'menentukan', 'terapi', 'obat', 'dibutuhkan', 'metode', 'asmart', 'metode', 'metode', 'menyelesaikan', 'multikriteria', 'metode', 'asmart', 'menentukan', 'terapi', 'obat', 'menghasilkan', 'tingkat', 'akurasi', 'nilai', 'akurasi', 'diperoleh', 'menganalisa', 'tingkat', 'persamaan', 'hasil', 'orang', 'ahli', 'dokter', 'sistem', 'pembuatan', 'spk', 'memiliki', 'tingkat', 'kesesuaian', 'user', 'pengguna', 'berdasarkan', 'hasil', 'kuesioner', 'responden', 'dokter', 'responden', 'apoteker', 'responden', 'masyarakat']"
PENGARUH SELEKSI FITUR CHI SQUARE TERHADAP  KLASIFIKASINAÃVE BAYES PADA DATA KANKER PAYUDARA,Emmilia Norhafifah,"Mulaâab,S.Si.,M.Kom.","Imamah, S.Kom.,M.Kom .",kanker payudara tumor ganas menyerang jaringan payudara berasal kelenjar saluran kelenjar jaringan penunjang payudara kanker payudara kerusakan gen mengatur pertumbuhan diferensiasi sel tumbuh berkembang biak dikendalikan kanker payudara pembunuh wanita dunia pencatatan penyakit kanker mengantisipasi menganalisa pasien pencegahan salah algoritma klasifikasi megani data naãve bayes data memliki fitur menimbulkan salah satunya proses klasifikasi tujuan penelitian pengaruh penambahan seleksi fitur chi square klasifikasi naãve bayes data kanker payudara hasil penelitian nilai akurasi presisi recall f measure akurasi tertinggi klasifikasi fitur kunci kanker payudara klasifikasi teks chi square naive bayes seleksi fitur, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['kanker', 'payudara', 'tumor', 'ganas', 'menyerang', 'jaringan', 'payudara', 'berasal', 'kelenjar', 'saluran', 'kelenjar', 'jaringan', 'penunjang', 'payudara', 'kanker', 'payudara', 'kerusakan', 'gen', 'mengatur', 'pertumbuhan', 'diferensiasi', 'sel', 'tumbuh', 'berkembang', 'biak', 'dikendalikan', 'kanker', 'payudara', 'pembunuh', 'wanita', 'dunia', 'pencatatan', 'penyakit', 'kanker', 'mengantisipasi', 'menganalisa', 'pasien', 'pencegahan', 'salah', 'algoritma', 'klasifikasi', 'megani', 'data', 'naãve', 'bayes', 'data', 'memliki', 'fitur', 'menimbulkan', 'salah', 'satunya', 'proses', 'klasifikasi', 'tujuan', 'penelitian', 'pengaruh', 'penambahan', 'seleksi', 'fitur', 'chi', 'square', 'klasifikasi', 'naãve', 'bayes', 'data', 'kanker', 'payudara', 'hasil', 'penelitian', 'nilai', 'akurasi', 'presisi', 'recall', 'f', 'measure', 'akurasi', 'tertinggi', 'klasifikasi', 'fitur', 'kunci', 'kanker', 'payudara', 'klasifikasi', 'teks', 'chi', 'square', 'naive', 'bayes', 'seleksi', 'fitur']"
SEGMENTASI TUMOR OTAK PADA CITRA MAGNETIC RESONANCE IMAGING DENGAN MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK,M. Sadewa Wicaksana W,"Prof. Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.",otak salah organ tubuh manusia sistem saraf pusat salah penyakit menyerang otak tumor otak tumor otak salah penyakit mematikan menyerang glioma berasal sel sel glial otak mengidentifikasi penyakit pasien diharuskan pemeriksaan rutin ct computed tomography scan citra mri diapatkan bentuk dimensi diperiksa dokter manual bersifat subjektif evaluasi dokter perhitungan manual menyebabkan resiko kesalahan manusia membutuhkan citra mri memiliki permasalahan rentang intensitas citra mri berbeda menyebabkan dibutuhkannya pembelajaran fitur detail mengidentifikasi tumor otak dibutuhkannya perhitungan semi otomatis otomatis segmentasi tumor otak cnn convolutional neural network ukuran kernel konvolusi layer model informasi fitur detail mengolah citra mri tahapan pre processing normalisasi intensitas patch extraction citra pre processing diproses metode cnn penelitian skenario percobaan kernel lapisan konvolusi kinerja cnn hasil uji coba model cnn kernel lapisan konvolusi tujuh memperoleh f score, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['otak', 'salah', 'organ', 'tubuh', 'manusia', 'sistem', 'saraf', 'pusat', 'salah', 'penyakit', 'menyerang', 'otak', 'tumor', 'otak', 'tumor', 'otak', 'salah', 'penyakit', 'mematikan', 'menyerang', 'glioma', 'berasal', 'sel', 'sel', 'glial', 'otak', 'mengidentifikasi', 'penyakit', 'pasien', 'diharuskan', 'pemeriksaan', 'rutin', 'ct', 'computed', 'tomography', 'scan', 'citra', 'mri', 'diapatkan', 'bentuk', 'dimensi', 'diperiksa', 'dokter', 'manual', 'bersifat', 'subjektif', 'evaluasi', 'dokter', 'perhitungan', 'manual', 'menyebabkan', 'resiko', 'kesalahan', 'manusia', 'membutuhkan', 'citra', 'mri', 'memiliki', 'permasalahan', 'rentang', 'intensitas', 'citra', 'mri', 'berbeda', 'menyebabkan', 'dibutuhkannya', 'pembelajaran', 'fitur', 'detail', 'mengidentifikasi', 'tumor', 'otak', 'dibutuhkannya', 'perhitungan', 'semi', 'otomatis', 'otomatis', 'segmentasi', 'tumor', 'otak', 'cnn', 'convolutional', 'neural', 'network', 'ukuran', 'kernel', 'konvolusi', 'layer', 'model', 'informasi', 'fitur', 'detail', 'mengolah', 'citra', 'mri', 'tahapan', 'pre', 'processing', 'normalisasi', 'intensitas', 'patch', 'extraction', 'citra', 'pre', 'processing', 'diproses', 'metode', 'cnn', 'penelitian', 'skenario', 'percobaan', 'kernel', 'lapisan', 'konvolusi', 'kinerja', 'cnn', 'hasil', 'uji', 'coba', 'model', 'cnn', 'kernel', 'lapisan', 'konvolusi', 'tujuh', 'memperoleh', 'f', 'score']"
APLIKASI MONITORING & EVALUASI KEGIATAN ASRAMA UNIVERSITAS TRUNOJOYO MADURA MENGGUNAKAN METODE SMART (SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE),NURHAYATI FITRIANI,"ACHMAD JAUHARI, ST.,MT.","ACH. KHOZAIMI, S.KOM., M.KOM.",monitoring kegiatan asrama universitas trunojoyo madura pendidikan karakter asrama berjalan maksimal diimplementasikan aplikasi monitoring evaluasi kegiatan asrama menerapkan teknologi web service diimplementasikan web server diakses android client aplikasi berjalan sesuai fungsionalitas aplikasi sesuai kebutuhan monitoring evaluasi kegiatan asrama nilai hasil evaluasi objektif diterapkan metode smart simple multi attribute rating technique memutuskan warga menetap asrama hasil akurasi pengujian penerapan metode smart menghasilkan tingkat akurasi hasil penilaian metode smart objektif san akurat dibandingkan penilaian pengurus asrama kunci evaluasi monitoring metode smart, Jurusan Teknik Informatika,RPL,"['monitoring', 'kegiatan', 'asrama', 'universitas', 'trunojoyo', 'madura', 'pendidikan', 'karakter', 'asrama', 'berjalan', 'maksimal', 'diimplementasikan', 'aplikasi', 'monitoring', 'evaluasi', 'kegiatan', 'asrama', 'menerapkan', 'teknologi', 'web', 'service', 'diimplementasikan', 'web', 'server', 'diakses', 'android', 'client', 'aplikasi', 'berjalan', 'sesuai', 'fungsionalitas', 'aplikasi', 'sesuai', 'kebutuhan', 'monitoring', 'evaluasi', 'kegiatan', 'asrama', 'nilai', 'hasil', 'evaluasi', 'objektif', 'diterapkan', 'metode', 'smart', 'simple', 'multi', 'attribute', 'rating', 'technique', 'memutuskan', 'warga', 'menetap', 'asrama', 'hasil', 'akurasi', 'pengujian', 'penerapan', 'metode', 'smart', 'menghasilkan', 'tingkat', 'akurasi', 'hasil', 'penilaian', 'metode', 'smart', 'objektif', 'san', 'akurat', 'dibandingkan', 'penilaian', 'pengurus', 'asrama', 'kunci', 'evaluasi', 'monitoring', 'metode', 'smart']"
MONITORING CURAH HUJAN SECARA REAL TIME MENGGUNAKAN TEKNOLOGI INTERNET OF THINGS BERBASIS MIKRO KONTROLER ARDUINO,Danny Wahyu Mailiffiandi,"Mulaâab, S.Si.,M.Kom","Eza Rahmanita, S.T., M.T",era globalisasi maju perkembangan teknologi canggih kontrol jarak memudahkan pekerjaan manusia kebelakang temukan eknologi internet of things kontrol manual konvensional teknologi maju penelitian menerus berkembang harapkan berdampak positif kehidupan manusia dimana analisis curah hujan mengukur intensitas curah hujan wilayah data ti hasilkan memprediksi derasnya hujan komponen mikrokontroler arduino sensor curah hujan sensor membaca mengukur data intensitas curah hujan dimana data intensitas curah hujan peringatan bencana alam banjir mengurangi gagal panen petani alat dikendalikan jarak maksimal meter kesensitifan sensor cepat hasil perbandingan pengiriman data internet of things sms gateway memiliki detik pengiriman cepat sms gateway metode memiliki kekurangan pengisian pulsa mahal internet of things bergantung internet, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['era', 'globalisasi', 'maju', 'perkembangan', 'teknologi', 'canggih', 'kontrol', 'jarak', 'memudahkan', 'pekerjaan', 'manusia', 'kebelakang', 'temukan', 'eknologi', 'internet', 'of', 'things', 'kontrol', 'manual', 'konvensional', 'teknologi', 'maju', 'penelitian', 'menerus', 'berkembang', 'harapkan', 'berdampak', 'positif', 'kehidupan', 'manusia', 'dimana', 'analisis', 'curah', 'hujan', 'mengukur', 'intensitas', 'curah', 'hujan', 'wilayah', 'data', 'ti', 'hasilkan', 'memprediksi', 'derasnya', 'hujan', 'komponen', 'mikrokontroler', 'arduino', 'sensor', 'curah', 'hujan', 'sensor', 'membaca', 'mengukur', 'data', 'intensitas', 'curah', 'hujan', 'dimana', 'data', 'intensitas', 'curah', 'hujan', 'peringatan', 'bencana', 'alam', 'banjir', 'mengurangi', 'gagal', 'panen', 'petani', 'alat', 'dikendalikan', 'jarak', 'maksimal', 'meter', 'kesensitifan', 'sensor', 'cepat', 'hasil', 'perbandingan', 'pengiriman', 'data', 'internet', 'of', 'things', 'sms', 'gateway', 'memiliki', 'detik', 'pengiriman', 'cepat', 'sms', 'gateway', 'metode', 'memiliki', 'kekurangan', 'pengisian', 'pulsa', 'mahal', 'internet', 'of', 'things', 'bergantung', 'internet']"
